,0
321,שלטון
322,בכסף
323,בעניין
324,פרשת
325,העמותות
326,באופן
327,אישי
328,עשיתי
329,חסר
330,תקדים
331,פסלתי
332,אותה
333,אישית
334,בלד
335,פעם
336,שאני
337,לכותל
338,כדי
339,לראות
340,מליוני
341,רפורמים
342,מתפללים
343,שם
344,אין
345,אף
346,זו
347,רחבה
348,ריקה
349,הם
350,פה
351,נמצאים
352,בארהב
353,להם
354,ירידה
355,אמון
356,לפני
357,שנים
358,הגיעו
359,אז
360,שהפוליטיקאים
361,פחות
362,מי
363,מנחם
364,הורדנו
365,אחרי
366,עשר
367,מחיר
368,המים
369,באחוז
370,ורבע
371,האכיפה
372,בתוך
373,הערים
374,באחריות
375,הרשויות
376,בתל
377,אביב
378,עיריית
379,תל
380,וכן
381,הלאה
382,משרד
383,החקלאות
384,חנויות
385,מסחר
386,שלם
387,בחנויות
388,אלקטרוניקה
389,הלבשה
390,הנעלה
391,החנויות
392,האלה
393,פתוחות
394,דובר
395,כאן
396,בנושא
397,הכי
398,משמעותי
399,יוקר
400,מחיה
401,כמו
402,שראינו
403,חודשיים
404,כשמחירי
405,עלו
406,היתר
407,הסכם
408,היקר
409,ישב
410,בכלא
411,סחר
412,בסמים
413,טוען
414,שטפלו
415,לו
416,ותפרו
417,תיק
418,צריך
419,לומר
420,האמת
421,הוויקיפדיה
422,אדלשטיין
423,ביקש
424,לתקן
425,בן
426,הגדיל
427,מכסת
428,הסגנים
429,אתה
430,יודע
431,כסף
432,עולה
433,לציבור
434,מיליונים
435,המחיר
436,מאז
437,שאדלשטיין
438,הוציא
439,לחופשה
440,כפויה
441,אחמד
442,טיבי
443,משתלט
444,וכבר
445,מכתיר
446,עצמו
447,באין
448,מפריע
449,בשידור
450,ישיר
451,CNN
452,לראש
453,ממשלת
454,הספיק
455,רכב
456,הסקודה
457,הלך
458,ורכש
459,לעצמו
460,רכבי
461,יוקרה
462,יפ
463,לימוזין
464,טויוטה
465,חדש
466,מכספי
467,המסים
468,מהכסף
469,שלכם
470,התחדש
471,ברכבים
472,כמובן
473,רצה
474,ועוד
475,כרגע
476,שקובע
477,פקודת
478,הנישואין
479,שכל
480,שדואג
481,לחתן
482,אחר
483,ללא
484,רישום
485,דינו
486,שנתיים
487,מאסר
488,עיר
489,שמאל
490,בבחירות
491,מתושבי
492,העיר
493,הצביעו
494,למפלגות
495,ימין
496,בסוף
497,כשנשדר
498,האירוויזיון
499,מוכרים
500,זכויות
501,שידור
502,הכנסות
503,מחסויות
504,מפרסומות
505,מכרטיסים
506,ממרצ
507,נדייז
508,מסביב
509,בעזה
510,חיים
511,מקומיים
512,ילידים
513,מהגרים
514,מישראל
515,ממצרים
516,מסוריה
517,מלבנון
518,החמאסניקים
519,אנשי
520,האדמה
521,נולדו
522,מרביתם
523,מעל
524,שני
525,שליש
526,מהם
527,מכל
528,מיני
529,מקומות
530,לכן
531,חיבור
532,הפעם
533,שהאמריקאים
534,מציעים
535,ון
536,קרי
537,הציע
538,תכנית
539,הרייטינג
540,התאגיד
541,למרות
542,חצי
543,כבר
544,שהוא
545,רץ
546,יכול
547,להוביל
548,פיצול
549,החדשות
550,יכולה
551,להיות
552,אופציה
553,ערוץ
554,רשום
555,שזה
556,חוקקתי
557,הדגל
558,וההמנון
559,ואנשים
560,יודעים
561,למיליארד
562,מבחינה
563,פרופורציונית
564,מתוקצב
565,במערב
566,ראשית
567,ראש
568,הממשלה
569,להתפטר
570,מדינה
571,שמשטרה
572,חוקתי
573,ומארג
574,וערב
575,פרט
576,התייחסות
577,בחוקי
578,היסוד
579,שלה
580,להיותה
581,מדינת
582,הלאום
583,העם
584,היהודי
585,הפכה
586,הציונות
587,לשטח
588,מת
589,בניגוד
590,לדיווחים
591,שגויים
592,בתקשורת
593,להחלטה
594,עלות
595,תקציבית
596,שהמשרות
597,קיימות
598,שהן
599,יבנו
600,בסיס
601,תקנים
602,קיימים
603,הקונגרס
604,ברובו
605,הגדול
606,תומך
607,דמוקרטים
608,רפובליקנים
609,הנתונים
610,שנאספו
611,חקיקתו
612,מעידים
613,כאלף
614,עדים
615,שהייתה
616,טעות
617,לחוקק
618,מקשה
619,נכים
620,שימוש
621,בחוות
622,דעת
623,ובשירותים
624,משפטיים
625,שיכולים
626,להועיל
627,בהוכחת
628,טענתם
629,הביטוח
630,הלאומי
631,הפליטים
632,מביניהם
633,שהגיעו
634,מאזורי
635,סכסוך
636,בעיקר
637,מדרפור
638,זוכים
639,להגנה
640,ולמעמד
641,פליט
642,ברגע
643,שאתה
644,עובר
645,נחשב
646,יכולים
647,להיחשב
648,במצרים
649,אמנת
650,מהמינויים
651,מהשופטים
652,שופטות
653,בשטחי
654,יהודים
655,וכמאה
656,ערבים
657,בשנים
658,ועדות
659,השחרורים
660,נתנו
661,לפחות
662,ופחות
663,אנשים
664,מהאנשים
665,קיבלו
666,מסתכלים
667,אחוזי
668,המעבר
669,האוניברסיטאות
670,היום
671,הבעיה
672,הצפה
673,גדולה
674,במכללות
675,שבא
676,ועבר
677,קונסרבטיבי
678,רפורמי
679,בחול
680,נרשם
681,כיהודי
682,כשיושב
683,הלשכה
684,לשעבר
685,יורי
686,גיא
687,רון
688,חשוד
689,בשוחד
690,בטענות
691,לשופטים
692,הדביק
693,שכר
694,הבכירים
695,תמיד
696,מוגבל
697,בחברות
698,ציבוריות
699,ובשום
700,מקום
701,זמן
702,שהתרופה
703,בסל
704,מוסיפה
705,חטא
706,פשע
707,לוקחת
708,מעמ
709,תרופות
710,שהורים
711,קונים
712,לספק
713,אותן
714,לילדים
715,שלהם
716,ומובילות
717,באירופה
718,ויתרו
719,בהקשר
720,סתיו
721,ואחרים
722,שעוזבים
723,מפלגות
724,נבחרו
725,במסגרות
726,פוליטיות
727,ששם
728,המנדט
729,שששווה
730,מימון
731,בחירות
732,יומיים
733,בית
734,המשפט
735,המחוזי
736,איזה
737,מנגנון
738,דחה
739,הטענות
740,וחייב
741,לממשלה
742,רוב
743,בוועדה
744,למינוי
745,שופטים
746,מחירי
747,הדירות
748,שכמות
749,אתרי
750,הבניה
751,הלכה
752,וגדלה
753,אל
754,תשתמשו
755,בסטטיסטיקה
756,כבסיס
757,הידע
758,האחרונה
759,העלנו
760,בהסכם
761,הקואליציוני
762,כתוב
763,שב
764,חוקי
765,יסוד
766,הסכמה
767,מרכיבי
768,בזמן
769,שהוקמה
770,הוקמה
771,רשות
772,לשיקום
773,אחרים
774,היותר
775,אדם
776,שבע
777,בזמני
778,גירשתי
779,למעלה
780,מסתננים
781,מענק
782,עזיבה
783,תקרא
784,לזה
785,ועזבו
786,מרצונם
787,חושב
788,שהדבר
789,ממש
790,רצוי
791,ולא
792,ראוי
793,דעתי
794,ואגב
795,דעתם
796,אזרחי
797,ההטבה
798,הזאת
799,לכולם
800,עכשיו
801,המאזינים
802,שיגיע
803,לדימונה
804,לערד
805,לירוחם
806,לאופקים
807,לנתיבות
808,לשדרות
809,תגיעו
810,ניתן
811,לכם
812,קרקע
813,ופטור
814,ממכרז
815,סבסוד
816,עלויות
817,הפיתוח
818,וניתן
819,הטבות
820,מס
821,ציפי
822,לבני
823,בכנסת
824,חתמה
825,עם
826,הסעיף
827,במהלך
828,השנתיים
829,המחירים
830,עשור
831,עלייה
832,כשנה
833,רשת
834,אחת
835,סופר
836,פארם
837,Be
838,גו
839,ביטלנו
840,הנושא
841,הבלעדיות
842,בקניונים
843,העולם
844,כולל
845,בגרמניה
846,לאחרונה
847,מוציאים
848,מחוץ
849,לחוק
850,BDS
851,האנטישמיים
852,העלאת
853,מסים
854,מדכאת
855,המשק
856,מורידה
857,מעלה
858,האבטלה
859,בדיוק
860,שקרה
861,בתקופתו
862,לפיד
863,נגידים
864,אומרים
865,להעלות
866,אמרו
867,וב
868,מתי
869,אחוז
870,האימהות
871,שחיות
872,בלי
873,נישואין
874,האמהות
875,החד
876,הוריות
877,גדל
878,השנים
879,השתנו
880,שכן
881,השתנה
882,היקפי
883,שגדלו
884,מצב
885,הגיוני
886,שרב
887,נבחר
888,החיים
889,מגמה
890,ברורה
891,כשהממשלה
892,ביטלה
893,השוויון
894,בנטל
895,עתיד
896,הובילה
897,הקודמת
898,התמתנות
899,העלייה
900,וזה
901,ככה
902,נמשך
903,אולמרט
904,בסופו
905,זוכה
906,מהפרשה
907,בגינה
908,קראו
909,יחסי
910,החוץ
911,נמצאת
912,קשרים
913,דיפלומטים
914,מאשר
915,אי
916,בעבר
917,באיזושהי
918,נקודת
919,הריבוי
920,עדי
921,ואני
922,מכיר
923,במדינת
924,שידעה
925,ארגוני
926,פשיעה
927,ושידעה
928,רוצחים
929,אנסים
930,בתולדות
931,שהיו
932,נגדו
933,שלושה
934,מסמן
935,לי
936,למשטרה
937,באמת
938,ראיות
939,פסקת
940,ההתגברות
941,פתרון
942,לסוגיות
943,כאלה
944,סעיף
945,למשל
946,החלטה
947,נוכל
948,להתגבר
949,פסיקת
950,העליון
951,קובע
952,שאנשים
953,שתומכים
954,בעמדות
955,הללו
956,צריכים
957,ההשעיה
958,שאם
959,חכ
960,עמד
961,בתבחיני
962,יוכל
963,להיבחר
964,לכנסת
965,כהונתו
966,תיפסק
967,ושוב
968,הדבר
969,נמנע
970,ידי
971,ביהמש
972,תחת
973,כהונת
974,ויותר
975,חרדים
976,מתגייסים
977,לצהל
978,ועד
979,שיעור
980,כלי
981,הנשק
982,הפרטיים
983,ששימשו
984,במעשי
985,רצח
986,במשפחה
987,מעשים
988,נוראיים
989,להלחם
990,בהם
991,עומד
992,שמאפשרות
993,פונדקאות
994,לזוגות
995,מאותו
996,מין
997,ארהב
998,וקנדה
999,הזעקה
1000,איראן
1001,בואו
1002,נגיד
1003,שוודיה
1004,דנמרק
1005,צרפת
1006,ובלגיה
1007,כשאנחנו
1008,בודקים
1009,בשני
1010,העשורים
1011,האחרונים
1012,מוצאים
1013,בערך
1014,בוצעו
1015,נשק
1016,פרטיים
1017,מהמקרים
1018,האחרים
1019,המשפחה
1020,אירעו
1021,בסכין
1022,גרזן
1023,פטיש
1024,חניקה
1025,כזה
1026,שמחייב
1027,המשטרה
1028,לשמור
1029,מוצגים
1030,כץ
1031,נחקר
1032,בפרשיית
1033,התעשייה
1034,האווירית
1035,החליט
1036,היועמש
1037,להגיש
1038,כתבי
1039,אישום
1040,וקיים
1041,שימוע
1042,שבועיים
1043,אינני
1044,מגיש
1045,נגדך
1046,כתב
1047,קיבלתי
1048,טענותיך
1049,בשימוע
1050,בעשור
1051,מעולם
1052,בקשרים
1053,דיפלומטיים
1054,בנקודת
1055,הזמן
1056,הזו
1057,טילים
1058,מעזה
1059,אגיד
1060,לך
1061,חמש
1062,צוק
1063,איתן
1064,אפס
1065,אזרחים
1066,ישראלים
1067,הרוגים
1068,טועה
1069,תקציב
1070,החינוך
1071,עבר
1072,הביטחון
1073,כולה
1074,משתמשים
1075,קבועים
1076,הזכאים
1077,לבגרות
1078,ברמת
1079,מרשים
1080,בכפר
1081,נראה
1082,לגיטימי
1083,פער
1084,כך
1085,גדול
1086,במערכת
1087,בעיר
1088,למה
1089,שונה
1090,ועל
1091,בהובלת
1092,שעמד
1093,בראש
1094,חוקה
1095,מיקי
1096,כשהצביעו
1097,בשבילו
1098,חברי
1099,הליכוד
1100,וכמות
1101,ענקית
1102,אוהב
1103,ההפגנות
1104,שעושים
1105,היועץ
1106,המשפטי
1107,האמנה
1108,הבינלאומית
1109,כפליט
1110,מסתנני
1111,עבודה
1112,נטו
1113,מפורש
1114,פסיקות
1115,משפט
1116,שמפרות
1117,הסטטוס
1118,קוו
1119,הקואליציה
1120,מחוייבת
1121,בחקיקה
1122,תאילנדים
1123,שעובדים
1124,תאילנדי
1125,שהגיע
1126,לארץ
1127,בחקלאות
1128,חזר
1129,בחזרה
1130,הסינים
1131,שבאים
1132,לכאן
1133,ואותו
1134,עובדי
1135,הסיעוד
1136,שאפשר
1137,בריאות
1138,וחינוך
1139,ועבודה
1140,שנתנו
1141,המוסמך
1142,היחידי
1143,תקנות
1144,הצעת
1145,הגיור
1146,שר
1147,הפנים
1148,בקדנציה
1149,שלי
1150,בארבע
1151,עזבו
1152,מרצון
1153,במגמת
1154,בנוסח
1155,החדש
1156,למעשה
1157,שינוי
1158,המצב
1159,הקיים
1160,המלצות
1161,העמדה
1162,לדין
1163,יהיו
1164,סיכום
1165,החקירה
1166,וההודעה
1167,לפרקליטות
1168,האם
1169,לביצוע
1170,יימשך
1171,כמקודם
1172,לגבי
1173,התרבות
1174,והאמנות
1175,בחברה
1176,הערבית
1177,השרה
1178,רגב
1179,הגבירה
1180,התקציבים
1181,שקלים
1182,ובשנה
1183,החשב
1184,הכללי
1185,האוצר
1186,הודיע
1187,שלפי
1188,החישובים
1189,תקבל
1190,תמלוגים
1191,הקרובות
1192,שילכו
1193,לחינוך
1194,לבריאות
1195,לקשישים
1196,לניצולי
1197,שואה
1198,ביולי
1199,אונסקו
1200,הכריז
1201,מערת
1202,המכפלה
1203,בחברון
1204,אתר
1205,מורשת
1206,עולמי
1207,פלסטיני
1208,גרוע
1209,מפייק
1210,ניוז
1211,היסטוריה
1212,מזויפת
1213,במאי
1214,הבריאות
1215,העולמי
1216,אימץ
1217,בחסות
1218,סורית
1219,שביקרה
1220,תנאי
1221,הגולן
1222,אירן
1223,נדרשה
1224,הגרעין
1225,להתוודות
1226,בפני
1227,הסוכנות
1228,לאנרגיה
1229,אטומית
1230,חד
1231,משמעי
1232,לקיום
1233,חייבת
1234,היחידה
1235,בטווח
1236,אלפי
1237,מיילים
1238,שבה
1239,הנוצרים
1240,שורדים
1241,משגשגים
1242,כוחו
1243,ברשימות
1244,המקומיות
1245,בכ
1246,הישג
1247,רשימות
1248,מחל
1249,פתחו
1250,הבחירות
1251,יכלו
1252,לסיים
1253,עד
1254,איש
1255,ציבור
1256,קיבל
1257,האפשרות
1258,לבקש
1259,תמיכה
1260,ועזרה
1261,מאמץ
1262,כביר
1263,שמשקיעים
1264,נגדי
1265,כשאני
1266,מחזיק
1267,כחכ
1268,משול
1269,להחזקה
1270,כאזרח
1271,פרטי
1272,כבישים
1273,מחלפים
1274,כביש
1275,קמ
1276,נוסע
1277,צפון
1278,דרום
1279,איפה
1280,שהמטוס
1281,נוחת
1282,בנתבג
1283,פתאום
1284,כולם
1285,מוחאים
1286,כפיים
1287,חפשו
1288,אצלה
1289,והם
1290,התמודדנו
1291,גירעונות
1292,גדולים
1293,נתמודד
1294,הבוקר
1295,שופט
1296,יחיד
1297,מחליט
1298,להקפיא
1299,בהחלטה
1300,מנומקת
1301,הרכב
1302,וללא
1303,שום
1304,דיון
1305,סתם
1306,לזמן
1307,ידוע
1308,ברוב
1309,אירופה
1310,ביום
1311,השבתון
1312,שבתון
1313,מוחלט
1314,לרבות
1315,תחבורה
1316,ציבורית
1317,בוודאי
1318,ובוודאי
1319,ואפילו
1320,בילוי
1321,תלכו
1322,בצרפת
1323,ציפורים
1324,מצייצות
1325,ברחובות
1326,וזהו
1327,הסקרים
1328,שנערכים
1329,ברשות
1330,הפלסטינית
1331,מדברים
1332,עזה
1333,שמאוד
1334,רוצים
1335,להגר
1336,רבות
1337,אחוזים
1338,מקרב
1339,צעירי
1340,יהודה
1341,ושומרון
1342,שרוצים
1343,לחפש
1344,במדינות
1345,אחרות
1346,בתקציב
1347,הקודם
1348,קק
1349,במסגרתו
1350,למדינה
1351,והמדינה
1352,התחייבה
1353,התחייבות
1354,מעוגנת
1355,בהחלטת
1356,מקק
1357,שנת
1358,במסגרת
1359,לקדם
1360,הביקורת
1361,מתייחסת
1362,לתקופה
1363,כיהנתי
1364,הייתי
1365,מעורב
1366,ברגבים
1367,באופק
1368,המבקר
1369,מפורשות
1370,שהתמיכה
1371,חוקית
1372,אושרה
1373,קונקרטי
1374,יועצים
1375,המועצה
1376,המשפטים
1377,שאלתי
1378,משרדי
1379,למנות
1380,קב
1381,במכרז
1382,פומבי
1383,מסודר
1384,ואתה
1385,מבקש
1386,פטור
1387,בפיו
1388,הסברים
1389,מניחים
1390,הדעת
1391,ולכן
1392,חבריי
1393,ואנחנו
1394,סירבנו
1395,לאשר
1396,הבקשה
1397,ושלחנו
1398,לבצע
1399,מכרז
1400,התהליך
1401,ברור
1402,קיים
1403,בחופש
1404,העיסוק
1405,מאזרחי
1406,שמרנים
1407,רפובליקאים
1408,שמתנגדים
1409,לנישואים
1410,מיניים
1411,הרוב
1412,יהודי
1413,מזדהים
1414,כשייכים
1415,לשום
1416,זרם
1417,רחבת
1418,התפילה
1419,המעורבת
1420,בכותל
1421,באים
1422,להתפלל
1423,בה
1424,קומץ
1425,פרובוקטורים
1426,קודם
1427,ממשל
1428,צבאי
1429,רוצה
1430,לחזור
1431,שהיה
1432,בראשית
1433,האיוולת
1434,הגדולה
1435,הסכמי
1436,אוסלו
1437,דוד
1438,הבתים
1439,יוצא
1440,מן
1441,הכלל
1442,נרכשו
1443,מלא
1444,כדת
1445,וכדין
1446,הביקוש
1447,במלונות
1448,בארץ
1449,ההיצע
1450,מכיוון
1451,שעשרים
1452,בנו
1453,מלון
1454,איך
1455,מדובר
1456,בעבירות
1457,בתחתית
1458,המדרג
1459,הפלילי
1460,שחיים
1461,ביהודה
1462,הנחיית
1463,יועמש
1464,ואם
1465,בלתי
1466,מאפשר
1467,קיום
1468,אירוע
1469,הדתי
1470,במדד
1471,אוניברסיטת
1472,חיפה
1473,ובסקר
1474,המכון
1475,הישראלי
1476,לדמוקרטיה
1477,אפשר
1478,ישנה
1479,שחיקה
1480,מתמדת
1481,הציבור
1482,יורד
1483,בבית
1484,בפרקליטות
1485,במוסד
1486,הייעוץ
1487,חזל
1488,שסנהדרין
1489,מוציאה
1490,להורג
1491,בשבעים
1492,נחשבת
1493,סנהדרין
1494,קטלנית
1495,הרבה
1496,ממה
1497,שמוציאים
1498,מערב
1499,מתוקנות
1500,הצענו
1501,דרכים
1502,להבאת
1503,אמוניה
1504,כה
1505,לנו
1506,תשובה
1507,לאף
1508,מהן
1509,במשך
1510,ארבעה
1511,חודשים
1512,שילמנו
1513,לעובדים
1514,תפוקה
1515,מבלי
1516,במפעל
1517,שנכנס
1518,לעסק
1519,גוף
1520,המחקר
1521,האיחוד
1522,האירופי
1523,ואחריו
1524,ביהד
1525,לזכויות
1526,קבעו
1527,שהמציאות
1528,השתנתה
1529,צפויים
1530,למס
1531,מהכנסתם
1532,לאריתריאה
1533,לעונשי
1534,כבדים
1535,בנסיבות
1536,לבחון
1537,מחדש
1538,מדיניותינו
1539,כלפי
1540,להגיע
1541,לאיזון
1542,האיזון
1543,לכלול
1544,התגברות
1545,כפי
1546,שקיים
1547,בהרבה
1548,דמוקרטיות
1549,מערביות
1550,קנדה
1551,מני
1552,מזוז
1553,קבע
1554,דאז
1555,עבירות
1556,מהסוג
1557,קבלת
1558,מתנות
1559,בשווי
1560,מעמידים
1561,תלך
1562,תטייל
1563,בג
1564,סר
1565,זרקא
1566,תראה
1567,ילדים
1568,עברית
1569,ללמוד
1570,שפות
1571,רשמיות
1572,חשוף
1573,הרי
1574,מפרסמים
1575,בשקיפות
1576,מלאה
1577,מפורסם
1578,פורסם
1579,משהו
1580,בפרשיות
1581,שרון
1582,שדברים
1583,כן
1584,הכניסו
1585,לכלא
1586,יהיה
1587,במקומות
1588,התבצע
1589,שחוננים
1590,מותו
1591,מייצאת
1592,חופשי
1593,עדיין
1594,קנאביס
1595,רצים
1596,מייצוא
1597,סמים
1598,כמדינה
1599,בגץ
1600,אישר
1601,והיום
1602,הכניסה
1603,לישראל
1604,לכלוא
1605,סהרונים
1606,ארוכה
1607,יסכימו
1608,לצאת
1609,מהארץ
1610,משפטית
1611,שהביאה
1612,רישיון
1613,מראש
1614,הפגנות
1615,עשינו
1616,המון
1617,פעולות
1618,שהובילו
1619,לירידה
1620,במעצרים
1621,בני
1622,הקהילה
1623,העתקה
1624,האזורים
1625,הנפרדים
1626,שחוקק
1627,בדרום
1628,אפריקה
1629,שאמר
1630,קהילה
1631,לחיות
1632,בנפרד
1633,דיבר
1634,העדפה
1635,עורר
1636,ביקורת
1637,שביהמש
1638,האפרטהייד
1639,ביטל
1640,שקורה
1641,חוזר
1642,כנראה
1643,מחלחל
1644,מספיק
1645,ראשי
1646,מועמדים
1647,גורף
1648,ושיטתי
1649,הפגנה
1650,קורה
1651,לה
1652,סמכות
1653,משטרתי
1654,בחוק
1655,לכתוב
1656,שאסור
1657,לחקור
1658,הנשיא
1659,באיטליה
1660,עזבתי
1661,העירייה
1662,וביטן
1663,מוותרים
1664,התוספת
1665,שלנו
1666,תחילת
1667,הזמנים
1668,שבוע
1669,ההצעת
1670,מבני
1671,עקום
1672,שהרבה
1673,פעמים
1674,מקבלים
1675,ההחלטות
1676,הפרקליטות
1677,שלוש
1678,ארבע
1679,מהרגע
1680,שהמשטרה
1681,אסור
1682,לפרסם
1683,המלצת
1684,קשר
1685,כתבתי
1686,מכתב
1687,ליועמש
1688,להבין
1689,נשען
1690,נותן
1691,לפעמים
1692,היתרים
1693,במשטר
1694,דמוקרטי
1695,במפורש
1696,כשאתה
1697,רומס
1698,נתון
1699,שנתן
1700,שי
1701,ניצן
1702,פרקליט
1703,תיקים
1704,ממליצה
1705,כותבת
1706,תשתית
1707,ראייתית
1708,סוגרת
1709,התיקים
1710,ההמלצות
1711,נוגע
1712,המשטרתיים
1713,שבתחום
1714,טיפול
1715,יחול
1716,איסור
1717,פירסום
1718,כאמור
1719,שמנסים
1720,לצייר
1721,מידי
1722,כמוכם
1723,וכמוני
1724,עולמם
1725,חרב
1726,עליהם
1727,פרסום
1728,ההמלצה
1729,דרמטי
1730,חמור
1731,בטוח
1732,התחיל
1733,אתמול
1734,משוכנע
1735,נעצר
1736,אצל
1737,השופטת
1738,ראית
1739,ששופט
1740,מקבל
1741,בקשה
1742,לימי
1743,מעצר
1744,קראתי
1745,הראיון
1746,הדס
1747,קליין
1748,ושם
1749,פורטה
1750,חלק
1751,מהחקירה
1752,אמרתי
1753,שהיא
1754,לעיתון
1755,והיא
1756,הדליפה
1757,מהמלצות
1758,מתקבלות
1759,שמשפיעה
1760,מערכת
1761,ההנחיות
1762,שמאז
1763,ומתמיד
1764,לפקידות
1765,לדרג
1766,הנבחר
1767,כפוף
1768,לאותו
1769,כלל
1770,ההחלטה
1771,הזאתי
1772,הרגולטורים
1773,שראש
1774,התקשורת
1775,שיציגו
1776,מממן
1777,כיוון
1778,הנחיות
1779,שצריך
1780,אבטחה
1781,ואבטחה
1782,מתייחס
1783,לאי
1784,נוהל
1785,בדברים
1786,שקשורים
1787,לעבודה
1788,שלך
1789,לדווח
1790,מחברים
1791,חובת
1792,דיווח
1793,קבלה
1794,שלום
1795,לבטל
1796,לבוא
1797,אלפיים
1798,חמשת
1799,התראה
1800,שעה
1801,היתה
1802,הפסדנו
1803,בהצבעה
1804,קולות
1805,יכולנו
1806,להעביר
1807,וראש
1808,תמך
1809,בהצעה
1810,מרוויח
1811,סגן
1812,יעלה
1813,הרכבת
1814,לצערי
1815,הרב
1816,שאת
1817,העבודות
1818,עושים
1819,בשבת
1820,בצפון
1821,העניין
1822,שבחקירה
1823,חסמו
1824,ונחקר
1825,יכולתי
1826,להישאר
1827,להתמנות
1828,לגור
1829,באופקים
1830,ולעבוד
1831,לוקח
1832,דקות
1833,לתל
1834,שהדלפות
1835,פליליות
